10-01 21:41:55.579: W/dalvikvm(1364): threadid=1: thread exiting with uncaught exception (group=0x40139560)
10-01 21:41:55.589: E/AndroidRuntime(1364): FATAL EXCEPTION: main
10-01 21:41:55.589: E/AndroidRuntime(1364): java.lang.OutOfMemoryError: bitmap size exceeds VM budget
10-01 21:41:55.589: E/AndroidRuntime(1364): 	at android.graphics.BitmapFactory.nativeDecodeStream(Native Method)
10-01 21:41:55.589: E/AndroidRuntime(1364): 	at android.graphics.BitmapFactory.decodeStream(BitmapFactory.java:560)
10-01 21:41:55.589: E/AndroidRuntime(1364): 	at android.graphics.BitmapFactory.decodeFile(BitmapFactory.java:370)
10-01 21:41:55.589: E/AndroidRuntime(1364): 	at android.graphics.BitmapFactory.decodeFile(BitmapFactory.java:399)
10-01 21:41:55.589: E/AndroidRuntime(1364): 	at android.graphics.drawable.Drawable.createFromPath(Drawable.java:800)
10-01 21:41:55.589: E/AndroidRuntime(1364): 	at polcz.peter.hf2.MainActivity$ContactWrapper.load(MainActivity.java:469)
10-01 21:41:55.589: E/AndroidRuntime(1364): 	at polcz.peter.hf2.MainActivity$ContactWrapper.<init>(MainActivity.java:455)
10-01 21:41:55.589: E/AndroidRuntime(1364): 	at polcz.peter.hf2.MainActivity.onCreate(MainActivity.java:86)
10-01 21:41:55.589: E/AndroidRuntime(1364): 	at android.app.Instrumentation.callActivityOnCreate(Instrumentation.java:1047)
10-01 21:41:55.589: E/AndroidRuntime(1364): 	at android.app.ActivityThread.performLaunchActivity(ActivityThread.java:1623)
10-01 21:41:55.589: E/AndroidRuntime(1364): 	at android.app.ActivityThread.handleLaunchActivity(ActivityThread.java:1675)
10-01 21:41:55.589: E/AndroidRuntime(1364): 	at android.app.ActivityThread.handleRelaunchActivity(ActivityThread.java:2844)
10-01 21:41:55.589: E/AndroidRuntime(1364): 	at android.app.ActivityThread.access$1600(ActivityThread.java:121)
10-01 21:41:55.589: E/AndroidRuntime(1364): 	at android.app.ActivityThread$H.handleMessage(ActivityThread.java:947)
10-01 21:41:55.589: E/AndroidRuntime(1364): 	at android.os.Handler.dispatchMessage(Handler.java:99)
10-01 21:41:55.589: E/AndroidRuntime(1364): 	at android.os.Looper.loop(Looper.java:130)
10-01 21:41:55.589: E/AndroidRuntime(1364): 	at android.app.ActivityThread.main(ActivityThread.java:3768)
10-01 21:41:55.589: E/AndroidRuntime(1364): 	at java.lang.reflect.Method.invokeNative(Native Method)
10-01 21:41:55.589: E/AndroidRuntime(1364): 	at java.lang.reflect.Method.invoke(Method.java:507)
10-01 21:41:55.589: E/AndroidRuntime(1364): 	at com.android.internal.os.ZygoteInit$MethodAndArgsCaller.run(ZygoteInit.java:878)
10-01 21:41:55.589: E/AndroidRuntime(1364): 	at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:636)
10-01 21:41:55.589: E/AndroidRuntime(1364): 	at dalvik.system.NativeStart.main(Native Method)
